TIM_DAY,ITE_ADD_NEIGHBORHOOD_NAME,OPERACION,LONGITUDE,LATITUDE,SIT_CURRENCY_ID,ITE_SITE_CURRENT_PRICE,ITE_BASE_CURRENT_PRICE,Ambientes,Dormitorios,SConstrM2,STotalM2,ITE_AUCTION_START,ITE_AUCTION_STOP,TIPOPROPIEDAD
11/29/2023,,Venta,"-58,5550156","-34,6141472",DOL,86141250,95000,5,4,140,140,10/03/2022,12/02/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5766632","-34,6109682",DOL,77073750,85000,3,2,54,283,11/02/2023,05/01/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,56218500,62000,2,1,37,42,11/17/2023,05/15/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,560761","-34,6078446",DOL,61205625,67500,2,1,41,50,11/17/2023,05/15/2024,Departamento
11/29/2023,,Venta,"-58,5697847","-34,6069896",DOL,38990250,43000,2,1,37,43,09/15/2023,04/10/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,560761","-34,6078446",DOL,58032000,64000,2,1,41,50,11/17/2023,05/15/2024,Departamento
11/26/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,38536875,42500,1,0,33,36,11/23/2023,05/21/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5511375","-34,6088819",DOL,90675000,100000,0,,76,76,11/02/2023,11/08/2024,Oficina
11/29/2023,CASEROS,Venta,"-58,560761","-34,6078446",DOL,61659000,68000,2,1,41,50,11/17/2023,05/15/2024,Departamento
11/27/2023,MARTIN CORONADO,Venta,"-58,5954409","-34,5781839",DOL,144173250,159000,,5,320,700,10/30/2023,11/29/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5625031","-34,609108",DOL,49871250,55000,2,1,33,33,01/12/2023,12/12/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5666134","-34,6212947",DOL,81607500,90000,4,3,100,150,11/01/2023,04/29/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5651922","-34,6268075",DOL,63472500,70000,5,4,282,302,10/25/2023,04/23/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5645876","-34,6070519",DOL,135105750,149000,,,80,100,10/25/2023,10/25/2024,Local
11/28/2023,SANTOS LUGARES,Venta,"-58,5491924","-34,6000743",DOL,91581750,101000,3,2,62,71,11/27/2023,05/25/2024,Departamento
11/29/2023,,Venta,"-58,5372807","-34,5991708",DOL,90675000,100000,0,1,40,45,09/18/2023,03/15/2024,Departamento
