TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-08-04T00:00:00Z,2024-07-29T16:29:26.740000,45592.0,Inmobiliaria,Alquiler,55,40,1,2,NA,Departamento,ARG,270000,270000.0,1879658855,2024-08,1295.36,"c(-58.572847, -34.594239)",FALSE,270000,208.44,4909.09,3.79,6750,5.21,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-08-06T00:00:00Z,2024-07-25T21:34:31.559000,45588.0,Inmobiliaria,Alquiler,35,35,1,2,NA,Departamento,ARG,290000,290000.0,2719706345,2024-08,1295.36,"c(-58.5396304, -34.5973469)",FALSE,290000,223.88,8285.71,6.4,8285.71,6.4,NA,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-17T20:00:13.896000,45580.0,Inmobiliaria,Alquiler,41,37,0,1,NA,Departamento,ARG,350000,350000.0,2699173569,2024-08,1295.36,"c(-58.5359592, -34.5978672)",FALSE,350000,270.2,8536.59,6.59,9459.46,7.3,NA,29,12,06840010,Sáenz Peña,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-24T00:00:00Z,2024-08-04T15:43:39.135000,45538.0,Fsbo,Alquiler,98,95,2,3,NA,Departamento,ARG,650000,650000.0,1882062419,2024-08,1295.36,"c(-58.532347, -34.616135)",FALSE,650000,501.79,6632.65,5.12,6842.11,5.28,DP,17,06,06840010,José Ingenieros,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-30T19:31:56.706000,45624.0,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,350000,350000.0,2796454753,2024-08,1295.36,"c(-58.5328461, -34.6416966)",FALSE,350000,270.2,7777.78,6,8750,6.76,DP,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-11T00:00:00Z,2024-07-19T13:22:38.851000,45582.0,Inmobiliaria,Alquiler,32,30,0,1,NA,Departamento,ARG,190000,190000.0,1876776411,2024-08,1295.36,"c(-58.5924196, -34.5863367)",FALSE,190000,146.68,5937.5,4.58,6333.33,4.89,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-09T00:00:00Z,2024-08-06T09:27:11.067000,45600.0,Inmobiliaria,Alquiler,68,62,2,3,NA,Departamento,ARG,520000,520000.0,2748367969,2024-08,1295.36,"c(-58.5429668, -34.5996998)",FALSE,520000,401.43,7647.06,5.9,8387.1,6.47,NA,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-14T15:12:36.208000,45608.0,Inmobiliaria,Alquiler,40,40,0,0,NA,Departamento,ARG,280000,280000.0,1886828663,2024-08,1295.36,"c(-58.5393735, -34.5974017)",FALSE,280000,216.16,7000,5.4,7000,5.4,NA,29,12,06840010,Sáenz Peña,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-25T00:00:00Z,2024-08-13T18:17:30.901000,45607.0,Inmobiliaria,Alquiler,61,61,2,3,NA,Departamento,ARG,400000,400000.0,1886213595,2024-08,1295.36,"c(-58.591367, -34.59621)",FALSE,400000,308.79,6557.38,5.06,6557.38,5.06,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-05T07:50:54.748000,45568.0,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,330000,330000.0,2670762853,2024-08,1295.36,"c(-58.5938438, -34.6042342)",FALSE,330000,254.76,7333.33,5.66,8250,6.37,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
