TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-04-08T00:00:00Z,2024-01-11 21:16:24,2024-04-10 00:00:00,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,239000,239000,1804308375,2024-04,1035.92,"c(-58.5902046, -34.5976981)",FALSE,239000,230.71,5311.11,5.13,5311.11,5.13,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-14T00:00:00Z,2024-04-05 15:33:46,2024-07-04 00:00:00,Inmobiliaria,Alquiler,45,41,1,0,NA,Departamento,ARG,300000,300000,1839383295,2024-04,1035.92,"c(-58.5412179, -34.6006796)",FALSE,300000,289.6,6666.67,6.44,7317.07,7.06,DP,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2024-04-21T00:00:00Z,2024-02-27 11:35:04,2024-05-28 00:04:43,Inmobiliaria,Alquiler,32,30,0,1,NA,Departamento,ARG,170000,170000,2367582261,2024-04,1035.92,"c(-58.599051, -34.5798)",FALSE,170000,164.11,5312.5,5.13,5666.67,5.47,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-21T00:00:00Z,2024-04-16 16:29:56,2024-07-15 00:00:00,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,200000,200000,1844149619,2024-04,1035.92,"c(-58.590169, -34.588327)",FALSE,200000,193.07,4444.44,4.29,5000,4.83,DP,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-14T00:00:00Z,2024-04-10 10:37:59,2024-07-09 00:00:00,Inmobiliaria,Alquiler,45,35,1,2,NA,Departamento,ARG,215000,215000,2471404973,2024-04,1035.92,"c(-58.6088236, -34.5665703)",FALSE,215000,207.54,4777.78,4.61,6142.86,5.93,NA,26,07,06840010,Loma Hermosa,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-04-03T00:00:00Z,2024-03-29 12:09:47,2024-06-27 00:00:00,Inmobiliaria,Alquiler,64,60,2,3,NA,Departamento,ARG,300000,300000,1836697135,2024-04,1035.92,"c(-58.531729, -34.607409)",FALSE,300000,289.6,4687.5,4.53,5000,4.83,NA,16,15,06840010,Villa Raffo,Villa Raffo,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-02T00:00:00Z,2024-01-05 15:27:57,2024-04-04 00:00:00,Inmobiliaria,Alquiler,140,140,0,0,NA,Departamento,DOL,300,257400,1802715567,2024-04,1035.92,"c(-58.6185584, -34.5724994)",TRUE,310776,300,2219.83,2.14,2219.83,2.14,NA,23,11,06840010,Remedios de Escalada de San Mart�n,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-03-06 13:32:24,2024-06-04 00:00:00,Inmobiliaria,Alquiler,47,42,1,2,NA,Departamento,ARG,330000,330000,2389317905,2024-04,1035.92,"c(-58.558207, -34.607941)",FALSE,330000,318.56,7021.28,6.78,7857.14,7.58,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-13 11:13:07,2024-07-12 00:00:00,Inmobiliaria,Alquiler,55,50,1,2,NA,Departamento,ARG,250000,250000,1843120179,2024-04,1035.92,"c(-58.5342323, -34.6326568)",FALSE,250000,241.33,4545.45,4.39,5000,4.83,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,TRUE,FALSE
2024-04-29T00:00:00Z,2024-03-27 17:18:20,2024-07-14 00:00:00,Inmobiliaria,Alquiler,42,40,1,2,NA,Departamento,ARG,210000,210000,2443227113,2024-04,1035.92,"c(-58.5495429, -34.6395887)",FALSE,210000,202.72,5000,4.83,5250,5.07,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
