TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-11-12T00:00:00Z,"2024-11-05T09:56:04,061000",2025-02-03T00:00:00,Inmobiliaria,Alquiler,50,47,2,3,Departamento,ARG,350000,350000,2902887237,2024-11,1106,"c(-58.5566635, -34.6340256)",FALSE,350000,316.46,7000,6.33,7446.81,6.73,NA,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-27T00:00:00Z,"2024-11-13T10:52:23,960000",2025-02-11T00:00:00,Inmobiliaria,Alquiler,49,40,1,2,Departamento,ARG,340000,340000,2915632633,2024-11,1106,"c(-58.5507728, -34.6314503)",FALSE,340000,307.41,6938.78,6.27,8500,7.69,NA,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-20T00:00:00Z,"2024-11-08T09:19:01,098000",2025-02-06T00:00:00,Inmobiliaria,Alquiler,72,68,2,3,Departamento,ARG,450000,450000,2908210245,2024-11,1106,"c(-58.5340085, -34.6425436)",FALSE,450000,406.87,6250,5.65,6617.65,5.98,NA,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-16T15:19:36,170000","2025-01-16T07:34:31,084000",Inmobiliaria,Alquiler,30,30,0,1,Departamento,ARG,260000,260000,2873420705,2024-11,1106,"c(-58.5802906, -34.5915346)",FALSE,260000,235.08,8666.67,7.84,8666.67,7.84,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-07T09:57:03,749000",2025-02-05T00:00:00,Inmobiliaria,Alquiler,64,55,2,3,Departamento,ARG,400000,400000,2906543657,2024-11,1106,"c(-58.547167, -34.6254098)",FALSE,400000,361.66,6250,5.65,7272.73,6.58,NA,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-18T14:51:37,507000",2025-01-16T00:00:00,Inmobiliaria,Alquiler,37,34,1,2,Departamento,ARG,320000,320000,1911724827,2024-11,1106,"c(-58.5625031, -34.609108)",FALSE,320000,289.33,8648.65,7.82,9411.76,8.51,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-22T09:57:34,307000",2025-10-22T00:00:00,Inmobiliaria,Alquiler,75,75,2,3,Departamento,ARG,500000,500000,1912842619,2024-11,1106,"c(-58.5650134, -34.6088975)",FALSE,500000,452.08,6666.67,6.03,6666.67,6.03,DP,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-24T09:27:24,354000",2025-02-22T00:00:00,Inmobiliaria,Alquiler,40,38,1,2,Departamento,ARG,400000,400000,1924600835,2024-11,1106,"c(-58.5458998, -34.6032468)",FALSE,400000,361.66,10000,9.04,10526.32,9.52,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-18T00:00:00Z,"2024-10-22T16:45:19,333000","2025-01-21T15:32:08,184000",Inmobiliaria,Alquiler,86,70,2,3,Departamento,ARG,400000,400000,2881631557,2024-11,1106,"c(-58.5987831, -34.5861188)",FALSE,400000,361.66,4651.16,4.21,5714.29,5.17,NA,20,08,06840010,Martín Coronado,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-29T09:48:38,591000",2025-01-27T00:00:00,Inmobiliaria,Alquiler,25,25,0,1,Departamento,ARG,200000,200000,2891277169,2024-11,1106,"c(-58.5859451, -34.5883929)",FALSE,200000,180.83,8000,7.23,8000,7.23,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-06T10:41:36,806000",2025-02-04T00:00:00,Inmobiliaria,Alquiler,28,28,0,1,Departamento,ARG,330000,330000,2905172413,2024-11,1106,"c(-58.5338228, -34.6134515)",FALSE,330000,298.37,11785.71,10.66,11785.71,10.66,NA,16,15,06840010,Villa Raffo,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-22T15:37:50,705000",2025-01-20T00:00:00,Inmobiliaria,Alquiler,35,33,1,2,Departamento,ARG,330000,330000,2881806449,2024-11,1106,"c(-58.5651922, -34.6268075)",FALSE,330000,298.37,9428.57,8.52,10000,9.04,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-05T00:00:00Z,"2024-10-23T14:29:58,634000",2025-01-21T00:00:00,Inmobiliaria,Alquiler,31,29,1,2,Departamento,ARG,290000,290000,2883714945,2024-11,1106,"c(-58.5640588, -34.6234756)",FALSE,290000,262.21,9354.84,8.46,10000,9.04,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-18T16:29:07,644000",2025-01-16T00:00:00,Inmobiliaria,Alquiler,55,51,1,2,Departamento,ARG,400000,400000,2876933365,2024-11,1106,"c(-58.540255, -34.6028856)",FALSE,400000,361.66,7272.73,6.58,7843.14,7.09,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-11-03T00:00:00Z,"2024-10-02T14:56:27,077000",2024-12-31T00:00:00,Inmobiliaria,Alquiler,50,50,2,3,Departamento,ARG,450000,450000,1906415459,2024-11,1106,"c(-58.5419824, -34.601349)",FALSE,450000,406.87,9000,8.14,9000,8.14,DP,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-18T00:00:00Z,"2024-10-17T22:55:28,600000","2025-01-16T15:40:05,881000",Inmobiliaria,Alquiler,68,59,2,3,Departamento,ARG,570000,570000,2875499457,2024-11,1106,"c(-58.533377, -34.6075966)",FALSE,570000,515.37,8382.35,7.58,9661.02,8.74,NA,16,15,06840010,Villa Raffo,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-20T00:00:00Z,"2024-10-07T08:54:57,118000","2025-01-11T16:14:00,338000",Inmobiliaria,Alquiler,65,65,1,1,Departamento,ARG,260000,260000,1908098071,2024-11,1106,"c(-58.577306, -34.6165928)",FALSE,260000,235.08,4000,3.62,4000,3.62,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-28T00:00:00Z,"2024-11-04T22:34:47,178000",2025-02-02T00:00:00,Inmobiliaria,Alquiler,30,30,0,1,Departamento,ARG,280000,280000,1917642571,2024-11,1106,"c(-58.5494727, -34.5988655)",FALSE,280000,253.16,9333.33,8.44,9333.33,8.44,NA,21,13,06840010,Santos Lugares,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
